,,, ,Wheel 1,,,,Wheel 2,,,
Run,Previous Best,Recorded Time,Evolutions,Size,Max Speed,Max Torque,Damping Ratio,Size,Max Speed,Max Torque,Damping Ratio
270,00:23.680,00:46.148,12,0.86,-102.86,77.13,1.75,0.85,-85.37,15.57,8.86
261,00:23.680,00:23.680,12,0.19,-102.86,63.13,5.61,0.85,-196.81,12.53,2.82
271,00:23.680,00:46.144,12,0.86,-102.86,77.13,1.75,0.64,-134.18,15.57,8.86
273,00:23.680,00:46.144,12,0.86,-102.86,77.13,6.03,0.64,-134.18,15.57,4.71
274,00:21.353,00:21.353,13,0.86,-102.86,75.91,8.7,0.64,-134.18,15.57,4.71
275,00:21.353,00:42.708,13,0.86,-1.19,75.91,8.7,0.58,-134.18,15.57,4.71
276,00:21.353,00:42.710,13,0.86,-1.19,58.5,8.7,0.43,-134.18,15.57,4.71
277,00:21.353,00:42.719,13,0.86,-34.38,58.5,8.7,0.43,-108.99,15.57,4.71
,,,,,,,,,,,
,,,,,,,,,,,
,Best:,,,,,,,,,,
144,00:07.484,00:07.484,7,0.04,-117.43,96.91,8.74,0.4,-81.56,58.32,9.92
